,Business Name,Business Address,Business Phone Number
41,Anmol BBQ,"2858 W Devon Ave, Chicago, IL 60659",(773) 508-5050
42,Anmol Meat & Grocery,"2753 W. Devon Ave., Chicago, IL - 60645",(872) 208-3373
43,Anmol Restaurant,"711 W Mitchell St, Milwaukee, WI 53204",(414) 672-7878
44,Anmol South Asian Kitchen,"1550 Rt 59, Ste 168 - 170, Naperville, IL 60653",(630) 946-6760
45,Art of Wings Bubbleology,"2034 Green Acres Mall Rd, Valley Stream, NY 11581",(516) 400-7900
46,Arzan Market & Cafe,"4702 N KIMBALL AVE, CHICAGO, IL 60625",(312) 898-2432
47,Asia Grocers,"27616 Middlebelt Rd, Farmington Hills, MI 48334",(248) 426-9000
48,Asia Grocers,"27616 Middlebelt Rd, Farmington Hills, MI 48334",(248) 426-9000
49,Asian Island,"1202 E Dundee Rd, Palatine, IL 60074",(847) 202-1036
50,AV Farm's Halal Transactions (Plant 44801),"6260 S.Kinsman Road, Kinsman, IL-60437",(815) 392-4259
51,Awami Bazar,"2340 W Devon Ave, Chicago, IL 60659",(773) 274-9600
52,"Aziz Halal Plants 44947, 21198","151-24 Beaver Road, Jamaica, NY 11433","(347) 708-8888, (347) 394-4444"
53,Azka BBQ,"87-16 Parsons Blvd, Jamaica, NY 11432",(718) 750-2952
54,Badr Halal Meat Plant LLC.,"711 East Woodlawn Avenue, Brighton, TN-38011",(901) 475-1700
55,Badri Foods,"5264 Lincoln Ave, Skokie, IL 60077",(773) 672-9559
56,Baitullaham Groceries,"447 Essex St, Hackensack, NJ 07601",(201) 820-1035
57,Baladi Fresh Market,"601 W North Ave, Villa Park, IL 60181",(630) 516-0123
58,Baya Halal Meats,"21071 Back Rd, Doylesburg, PA 17219",(347) 951-1172
59,BBQ King,"3112 N Jupiter Rd #307, Garland, TX 75044",(972) 807-6910
60,BBQ King Express & Pizzeria,"888 S GREENVILLE AVE #222, RICHARDSON, TX 75081",(214) 238-6590
61,BBQ Tonight,"1061 W. Golf Rd, Hoffman Estates, IL 60169",(847) 843-6248
62,Billydoe Meats (Plant 46262),"2400 Hassell Rd Suite 300, Hoffman Estates, IL 60169",(630) 912-2127
63,Biryani Corner,"6418 N Western Ave, Chicago, IL 60645",(773) 856-0207
64,Bismillah Halal Live Poultry (NOT VALID FOR WHOLESALE SUPPLY),"37-15 55 St, Woodside, NY 11377",718-205-7200
65,Bismillah Market,"475 W. Boughton Rd, Bolingbrook, IL 60440",(630) 759-4429
66,Bismillah Restaurant,"475 W. Boughton Rd, Bolingbrook, IL 60440",(630) 759-4429
67,Bison Burger,"598 Potter Rd, Des Plaines, IL 60016",(224) 601-4031
68,Bites Express,"9402 Waukegan Rd, Morton Grove, IL 60053",(847) 505-5121
69,Bornali Cafe,"130 Wayne Ave, Paterson, NJ 07502",(973) 689-6887
70,Brewer Livestock & Meat,"4190 S County Rd. 350 West, North Vernon, IN-47265",(812)873-7494
71,Buffalo Fresh,"1018 Broadway, Buffalo, NY 14212",(716) 768-3700
72,Buffalo Fresh 2,"284 Ontario Street, Buffalo, NY 14207",(716) 582-0510
73,Buffalo Fresh 2 (In-Store Restaurant),"284 Ontario Street, Buffalo, NY 14207",(716) 582-0510
74,Bundoo Khan Express,"2603 Aurora Ave Unit 123, Naperville, IL 60540",(630) 857-9704 (and 9705)
75,Bundoo Khan Restaurant,"2539 W. Devon Ave., Chicago, IL - 60659",(872) 241-9100
76,Burger Boy Lounge,"2657 W Devon Ave, Chicago, IL 60659",(773) 856-0236
77,Burgerim (ONLY THIS LOCATION),"90 Middlesex Turnpike, Burlington, MA 01803",(781) 221-6237
78,Burgermania,"274 West 40 Street, New York, NY 10018",(929) 235-7861
79,Burns Road Foods,"491 Manalapan Rd, Suite #6, Spotswood, NJ 08884",(833) 287-6773
80,Byrd's Hot Chicken,"4839 OAKTON ST, SKOKIE, IL 60077",(224) 251-8296
81,Byrd's Hot Chicken,"800 CEDAR PARKWAY, SCHEREVILLE, IN 46375",(219) 322-6601
82,Byrd's Hot Chicken,"2634 N Clark St, Chicago, IL 60614",(872) 808-2300
83,Byrd's Hot Chicken Algonquin,"1748 S Randall Rd, Algonquin, IL 60102",224-678-9433
84,Byrd's Hot Chicken Orland Square Mall,"346 Orland Square Drive, Orland Park, IL 60661",657-263-4044
85,Byrd’s Hot Chicken Schaumburg,"925 Roselle Rd, Schaumburg, IL 60193",(224) 653-8425
86,Calibun,"23-14 36 Ave, Astoria, NY 11106",(347) 848-0080
87,Capital Meats,"9714 CR 272, BERTRAM, TX 78605",(512) 488-0399
88,Centro Burgers and Shakes,"1271 S. Main St, Lombard, IL 60148",(331) 307-7902
89,Charminar Restaurant,"6350 N. Campbell Ave., Chicago, IL - 60659",(773) 508-6766
90,Chaudhry Halal Meats,"380 Stockyard Rd, Siler City, NC 27344",(919) 742-9292
91,Chicago Live Poultry,"6421 N Western Ave, Chicago, IL - 60645",(773) 381-1000
92,Chickasha Meat Company,"2401 County Street 2860, Chickasha, OK 73018",(405) 224-1900
93,Chicken Factory,"3517 N Spaulding ave, Chicago, IL 60618",(872) 262-6787
94,Classic International Market,"2310 Virginia Pkwy #130, McKinney, TX 75071",(469) 714-0060
95,Classic International Market (Kitchen),"2310 Virginia Pkwy #130, McKinney, TX 75071",(469) 714-0060
96,Classic Meat,"3555 Murphy Rd. #105 Richardson, TX 75082",(214) 299-4100
97,COCONUT HILL,"1201 E Main St Suite 200, Allen, TX 75002",(972) 332-8838
98,COCONUT HILL KITCHEN,"1201 E Main St Suite 200, Allen, TX 75002",(972) 332-8838
99,Colorado Lamb Processors (M-47194),"1625 AgriPark Road, Brush, CO 80723",(970) 422-1759
100,Community Grocery,"3633-38 W. Bryn Mawr Ave., Chicago, IL - 60659",(773) 539-5575
101,Corfu Foods (Plant 1614),"735 Thomas Drive, Bensenville, IL 60106",(630) 595-2510
102,Crescent Foods,"4343 W. 44th Place, Chicago, IL 60632",(773) 247-6005
103,Crescent Foods,"4343 W. 44th Place, Chicago, IL 60632",(773) 247-6005
104,Crescent Foods,"4343 W. 44th Place, Chicago, IL - 60632",(773) 247-6005
105,Crescent Foods (Plant 170),"4343 W. 44th Place, Chicago, IL 60632",(773) 247-6005
106,Crescent Foods (Plant 20214 Breaded Chicken Nuggets & Breast Chunks),"4343 W. 44th Place, Chicago, IL - 60632",(773) 247-6005
107,Crescent Foods (Plant 20214 Chicken Breast Breaded Tenders),"4343 W. 44th Place, Chicago, IL - 60632",(773) 247-6005
108,"Crescent Foods (Plants 20887, 764, 445)","4343 W. 44th Place, Chicago, IL - 60632",(773) 247-6005
109,Crescent Moon,"3013 W Spring Creek Pkwy #200, Plano, TX 75023",(972) 618-7888
110,Cultura Subs,"9432 Waukegan Rd, Morton Grove, IL 60053",(872) 285-8872
111,Daallo Halal Meat and Grocery,"2742 W Devon Ave, Chicago, IL 60659",(773) 942-6783
112,Datar Halal Meat And Grocery,"293 East Meadow Ave, East Meadow, NY 11554",(516) 414-1740
113,Deccan Bawarchi,"17933 Haggerty Rd, Township of Northville, MI 48168",(248) 916-8700
114,Deccan Grill Frisco,"2693 Preston Rd #1052, Frisco, TX 75034",(214) 308-9988
115,Deccan Grill Irving,"535 W Airport Fwy #110, Irving, TX 75062",(972) 594-1999
116,Deccan Grill Plano,"909 W Spring Creek Pkwy Ste 230, Plano, TX 75023",(469) 573-9471
117,Deccan Meats,"17690 TX-121, Trenton, TX 75490",(469) 656-8225
118,Desi Dhaaba,"3900 Washington St, Gurnee, IL 60031",(224) 637-3233
119,Desi Needs,"289 Evergreen Dr, Vernon Hills, IL 60061",(847) 549-3128
120,Desi Needs,"3900 WASHINGTON ST, SUITE J, GURNEE, IL 60031",(847) 662-2200
121,DFW Halal Meat,Dallas Texas,(832) 774-9646
122,Dhaka Restaurant,"168-32 Hillside Ave, Jamaica, NY 11432",(718) 262-9774
123,Dillsburg Halal Meat,"855 Mt Zion Rd, Dillsburg, PA 17019",(717) 856-5137
124,Divine Meats (Further Processed Products),"8903 Sovereign Row Dallas, TX 75247",(972) 370-8259
125,Divine Meats (Slaughter House),"1200 MARS RD, FERRIS, TX 75125",(972) 827-7658
126,Diyaanaat LLC,"Lansdale, PA",203-942-8839
127,Diyaanaat NY,"160-02 Hillside Ave, Jamaica, NY 11432",(203) 942-8839
128,Eatzy Chinese,"37 - 21 72nd Street, Jackson Heights, NY 11372",(718) 533-9131
129,Eatzy Thai,"33-09 Broadway, Astoria, NY 11106",(718) 956-7117
130,EMIR HALAL FOODS,"69-80 75th St, Middle Village, NY 11379",(888)988-3647
131,Espetadas,"1318 Centennial Ave, Piscataway, NJ 08854",(732) 529-5684 | (732) 427-9614
132,Express Poultry & Fish,"15038 W Warren Ave, Dearborn, MI 48126",(313) 584-1020
133,Fahrenheit,"136 E Army Trail Rd, Glendale Heights, IL 60139",(847) 466-5705
134,Family Farm Lamb,"Burr Ridge, Illinois",(708) 473-4058
135,FARM2COOK,"8401 W. Golf Rd, Niles, IL 60714",(773) 683-6998
136,Farmer's India Market,"1814 Central Ave, Albany, NY 12205",(508) 868-8014
137,Fatima Brand,"1715 W. Cortland Ct, Unit 2, Addison, IL 60101",630-620-5000
138,Fatima Grocery Inc,"167-11 Hillside Ave, Jamaica, NY 11432",(718) 291-9642
139,Fatzee’s,"1608 Emerson St, Evanston. IL 60201",847-859-6293
140,FF Chicken,"8531 brier creek pkwy #109, raleigh, nc 27617",(984) 244-7127
141,Fiery Hot Nashville Chicken,"151 W Spring Creek Pkwy Ste 509, Plano, TX 75023",(469) 814-0959
142,Fiesta Healthy Mexican Grill,"4 Bedford Ave, Bergenfield, NJ 07621",(732) 229-3999
143,Fiesta Healthy Mexican Grill,"87-48 Parsons Blvd, Jamaica, NY 11432",fiestahealthygrill.com
144,Fire Stone Grill & Pizza,"380 B Franklin Ave, Franklin Square, NY 11010",(516) 326-1214
145,Fish Corner,"6408 N Campbell Ave, Chicago, IL 60645",(773) 262-7173
146,FLAME ON PERI PERI GRILL,"7041 N MILWAUKEE AVE, NILES, IL 60714",(847) 779-3950
147,Foodland Supermarket,"120 Cambridge Street, Burlington, MA 01803",(781) 229-0108
148,Four Seasons Steak & Grill,"260 W North Ave, Addison, IL 60101",(630) 519-5929
149,Fry,"8439 W Golf Rd Niles, IL 60714",(224) 251-8729
150,Great Lakes Poultry,"5001 US-35, La Porte, IN 46350",(219) 393-7000
151,Green Valley Meat Market,"886 S Greenville Ave Ste 222, Richardson, TX 75081",(214) 238-7577
152,Grill O Pizzeria & Kabab,"72-55 Kissena Blvd, Flushing, NY 11367",(718) 793-2984
153,Grillwaale,"315 Oak Street, Uniondale, NY 11553",(516) 774-1854
154,GRIMAUD FARMS (All Grimaud Farms products labeled as halal and/or carrying an HMS logo),"2716 E. Miner Avenue, Stockton, CA 95205",(209) 466-3200 | (800) 466-9955 | sales@grimaudfarms.com
155,HADRAMOUT RESTAURANT & BAKERY,"3100 W Devon Ave, Chicago, IL 60659",(773) 942-7541
156,Haji Ali Juice,"6300 Independence Pkwy, Plano, TX 75023",(469) 814-0258
157,HAL&AL Meats and Provisions,"50 Constance Ct, Hauppauge, NY 11788",(212) 381-7642
158,Hal&Al Texas,Richmond Texas,(347) 589-1229
159,Halal Alshaam Market,"570 E Algonquin Rd, Des Plaines, IL 60016",(847) 376-8074
160,HALAL BBQ PITMASTERS,"ALLEN, TX",https://halalbbqpitmasters.com/
161,Halal Bros Kabab Grill,"667 Elmont Rd, Elmont, NY 11003",(516) 612-7272
162,Halal Eatz,"195 Cambridge Street, Burlington, MA 01803",(781) 203-1554
163,Halal Eatz,"574B Stewart Ave, Bethpage, NY 11714",(516) 813-7660
164,Halal Express Cusine,"17W731 Roosevelt Rd. Oakbrook, Terrace, IL - 60181",(630) 678-0790
165,HALAL EXPRESS MART,"6065 Dempster St, Morton Grove, IL 60053",(224) 534-7048
166,HALAL EXPRESS MART (TAKE OUT),"6065 Dempster St, Morton Grove, IL 60053",(224) 534-7048
167,Halal Factory,https://halalfactoryco.com,(833) 492-2442 | (847) 349-9936
168,Halal Farms USA Inc. (Plant 20263),"22 West Badger Street, Shanon,IL-61078",(815) 864-2875
169,Halal Live Chicken,"5020 Edwin St, Hamtramck, MI 48212",(313) 285-8706
170,Halal Market Skokie,"5158 Main St, Skokie, IL 60077",(847) 213-0636
171,Halal Meat & International Foods,"1221 Sagamore Parkway North, Lafayette, IN 47905",(765) 586-3147
172,Halal Meat Slaughterhouse,"36117 Rocky River Springs Rd, Norwood, NC 28128",(704) 474-4420
173,Halal Peri Peri Chicken and Grill,"2350 W Devon Ave, Chicago, IL 60645",(773) 754-7700
174,Halal Pizza & Food,"15921 Weber Rd, Unit B, Crest Hill, IL 60403",(815) 552-2452
175,Halal Pizza Point,"5230 Dempster St, Skokie, IL 60077",(224) 534-7353
176,Halal Pride Farms,"New York City, NY",(773) 965-0971
177,Hangry Joe's Hot Chicken,"1025 N Elmhurst Rd, Mt Prospect, IL 60056",(224) 857-8113
178,Harb's Farm,"7802 Vienna Rd., Blossvale, NY - 13308",(914) 320-7959
179,Harb's Farm Halal Meat Packing,"56 Railroad Ave, Stamford, NY 12167",(607) 435-9375
180,Harvest International Market,"4949 N. Elston Ave, Chicago, IL 60630",(312) 898-2432
181,Healthy Sugar NYC (Yogurt La Crepe),"61 North Broadway, Tarrytown, NY 10591",(914) 372-7037
182,Herscher Al Bawadi Halal Meat Locker,"11260 W State Route 115, Herscher, IL 60941",(779) 701-9397
183,Holy Buckets,"7331 W 87th St, Bridgeview, IL 60455",(708) 931-4659
184,Holy Buckets,"7150 N McCormick Blvd, Lincolnwood, IL 60712",(708) 516-6192
185,Holy Cow Elmont,"240-09 Linden Blvd, Elmont, NY 11003",(516) 636-5299
186,Holy Cow JFK,"125 JFK Travel Plaza, Jamaica, NY 11430",(718) 691-6382
187,Holy Cow Paterson,"245 Market Street, Paterson, NJ 07505",(973) 200-2780
188,Holy Cow Restaurant Inc.,"34 Canal St, New York, NY 10002",(347)630-9155
189,Holy Cow Uniondale,"315 Oak Street, Uniondale, NY 11553",(516) 407-3305
190,Hotstone,"908 E Roosevelt Rd, Lombard, IL 60148",(630) 613-8173
191,House of Biryani,"2306 W Devon Ave, Chicago, IL 60659",(773) 654-3228
192,Hussain Catering,"1214 S Highland Ave, Lombard, IL 60148",(773) 289-8089
193,Hyderabad House,"2225 W. Devon Ave., Chicago, IL 60659",(773)381-1230
194,Hyderabad House,"825 W. HIGGINS, SCHAUMBURG, IL 60194",(847) 466-7055
195,Hyderabad House JC,"523 Newark Ave, Jersey City, NJ 07306",(201) 876-2943
196,Hyderabad Kitchen,"6242 - 44 N. California Ave, Chicago, IL 60659",(773) 961-7023
197,Ihsan Farms Hand Zabiha Plant,"30931 Park Dr., Princess Anne, MD - 21853",(410) 651-1495
198,India House,"709 S. GAMMON RD, MADISON, WI 53719",(608) 268-0241
199,Indo Pak Meat & Grocery,"3922 W. Lawrence Ave, Chicago, IL - 60625",(773) 267-5800
200,IONZ,14100 S. GARFIELD AVE #104,(773) 551-2281
201,Iqra Grocery and Zabiha Halal Meat,"212 Roosevelt Rd, Villa Park, IL 60181",(630) 903-6667
202,Jazeera Restaurant,"37 W John Street, Hicksville, NY 11801",(631) 229-3646
203,Jerusalem Cafe,"300 W. Roosevelt Rd, Lombard, IL 60148",(630) 629-6400
204,Just Halal Chicken,New York,(516) 210-6535 | purchasing@wildfeatherpoultry.com
205,Kabab King Grill,"2305 W. Devon Ave, Chicago, IL 60659",(773) 856-3786
206,Kababjees,"495-18 South Broadway, Hicksville, NY 11801",(516) 597-5777
207,Kabul Kabob Bridgeview,"7265 W. 87th St, Bridgeview, IL 60455",(708) 529-0590
208,Kamyab Mart Inc.,"15921 Weber Rd. Unit B, Crest Hill, IL - 60403",(815) 552-2452
209,Karachi Dhaba & Chaat,"1581 W. Bloomingdale Rd, Glendale Heights, IL 60139",(630) 765-7079
210,Karahi Corner,2658 W Devon Ave Chicago IL 60659,(773) 856-3090
211,Khan BBQ,"2401 W Devon Ave, Chicago, IL 60659",(773) 274-8600
212,Khan Brothers Meat and Grocery,"1143 Lee St, Des Plaines, IL 60016","(847) 481-9739, (224) 388-1046"
213,Khizer's Kitchen,"112 N BOLINGBROOK DR.BOLINGBROOK, IL 60440",(630) 863-7018
214,King Halal Meats Inc.,"506 Kathryns Ct Kendallville, IN 46755",646 (552)-5112
215,Kolachi Tandoori Grill,"937 S Roselle Rd, Schaumburg, IL 60193",(630) 339-9002
216,La Charanga Mexican Halal,"4003 W. Algonquin Road Rolling Meadows, IL 60008",(847) 496-5642
217,La Estacion Deli & Pizzeria,"22 1st Ave, Brentwood, NY 11717",(631) 231-3131
218,Labbaik Karahi Restaurant,"1682 Central Ct, Valley Stream, NY 11580",(516) 599-2500
219,LABELLE FARMS INC,"504 Stanton Corners Rd, Ferndale, NY 12734",(845) 295-0063
220,Lasani Zabiha Halal Meat & Grocers,"2445 W. Devon Ave, Chicago, IL 60659",(773) 761-5555
221,Lekka Chows,"297 North Central Ave, Valley Stream, NY 11580",(516) 612-3227
222,Locust Point Farms,"430 Locust Point Rd, Elkton, MD 21921",(410) 398-8765
223,Maa Supermarket,"87-79 Parsons Blvd, Jamaica, NY 11432",(917) 717-6879
224,Madina Moroccan Mediterranean Fusion,"114 E Main St, Richardson, TX 75081, USA",(214) 774-9120
225,Madina Traders Inc.,"181 Shore Ct Burr Ridge, IL 60527",(773) 940-1730
226,Madni Food Mart,"20836 Telegraph Rd., Brownstown, MI - 48174",(734) 479-2144
227,Mairaj Distributors,Richmond Texas,(800) 393-1287 | (832) 289-5929
228,Makkah Catering,"17W612 14th St Oakbrook Terrace, IL",(630) 475-1234
229,Makkah Mart,"1652 S. Ardmore Ave, Villa Park, IL 60181",(630) 495-9999
230,Mamas Restaurant,"37-08 73 Street, Jackson Heights, NY 11372",(347) 448-6002
231,Mamas Supermarket,"37-08 73 Street, Jackson Heights, NY 11372",(347) 448-6002
232,Mannan Bakery,"71-14 35 Ave, Jackson Heights, NY 11372",(718) 424-0262
233,Mannan Bakery & Restaurant,"167-15 Hillside Ave, Jamaica, NY 11432",(718) 374-3679
234,Mannan Bakery Factory,"149-21 Jamaica Ave, Jamaica, NY 11435",0000000000
235,Mannan Halal Supermarket,"37-19 73 Street, Jackson Heights, NY 11372",(718) 255-1137
236,Mannan Halal Supermarket,"75-19 101 Ave, Ozone Park, NY 11416",(718) 848-0895
237,Mannan Supermarket,"166-11 Hillside Ave, Jamaica, NY 11432",(718) 657-4585
238,Mannan Sweets & Restaurant,"75-13 101 Ave, Ozone Park, NY 11416",(718) 480-6880
239,Marhaba Foods,"833 Higgins Rd. Schaumburg, IL 60195",(847) 839-3993
240,Mars Halal Market,"2242 Woodbridge Ave, Edison, NJ 08817",(201) 333-3301
241,Mazadar Mediterranean Kitchen,"1839 Central Ave, Albany, NY 12205",(518) 464-0800
242,Mecca Halal Meat INC.,"270 Raymond Blvd., Newark, NJ - 07105",(973) 817-8444
243,Mediterranean Market,612 E.Roosevelt Rd. Lombard IL 60148,(630) 424-1397
244,Mega Meats and Mega Halal Poultry,5110 US HWY 41 S Jasper Florida 32052,(386) 638-1611
245,Mehrab Super Market,"2433 - 37 W. Devon Ave, Chicago, IL 60659",(773) 764-3737
246,Midnight Curry,"240-09 Linden Blvd, Elmont, NY 11003",(516) 200-6339
247,Midwest Zabiha Halal,"15913 Pleasant Valley Rd, Union, IL 60180",(773) 677-6373
248,Mina Bazar,"71-10 35th Ave, Jackson Heights, NY 11372",(718) 639-6462
249,Miracle Farms,"Warren, Michigan | https://miraclefarmsusa.com/",(248) 266-0786
250,Mirch Family Dining,"2510 W. Devon Ave, Chicago, IL 60659",(773) 942-6800
251,Moho Mexican Grill,"38-05 Bell Blvd, Bayside, NY 11361",(718) 709-9695
252,Moon Restaurant,"69-11 Woodside Ave, Woodside, NY 11377",(718) 335-1828
253,Moon Supermarket,"69-11 Woodside Ave, Woodside, NY 11377",(718) 335-1828
254,Mughal Bakery,"6346 - 48 N. Maplewood Ave, Chicago, IL 60659",(773) 761-9660
255,Naan on Devon,"2241 W. Devon Ave., Chicago, IL 60659",(773) 262-7676
256,Nay Restaurant,"365 E. North Ave, Glendale Heights, IL 60139",(630) 868-3744
257,Nayab Mart,"2449 West Devon Avenue, Chicago, IL",(773) 262-9200
258,New England Meat Company #21183,"30 Furnace Hollow Rd, Stafford Springs, CT 06076",(860) 684-3505
259,New Madinah Market (Aurora),"646 S Frontenac St # 106, Aurora, IL 60504",(630) 692-0990
260,New Mamas Halal Meat & Fish,"72-20 37 Ave, Jackson Heights, NY 11372",(718) 685-2855
261,New Nayab Mart (Aurora),"3577 E. New York St., Aurora, IL – 60504",(630)-585-5858
262,New Shamiana Meat & Grocery,"2233 Schaumburg Rd, Schaumburg, IL",(847) 301-8500
263,New Zaiqa,"1316 N Clybourn Ave Chicago, IL 60610",(312) 266-0786
264,NYC Halal Eats,"1939 E Wattles Rd, Troy, MI 48085",(248) 729-7200
265,NYC Halal Eats,"24311 Halsted Rd, Farmington Hills, MI 48335",(248) 987-7100
266,Olague Farms Meat Packing Inc. (State Plant 23548),Illinois,"(815) 943-4488, (815) 276-5492"
267,OMG Grill,"6037 Dempster St, Morton Grove, IL 60053",(847) 972-1731
268,OMG Nafisa's Kitchen,"6027 Dempster St, Morton Grove, IL 60053",(224) 534-7525
269,Owais Foods,"9372 W. Ballard Rd., Des Plaines, IL – 60016",(224) 388-1046
270,Palms Market,"9161 N Milwaukee Ave, Niles, IL 60714",(847) 972-1611
271,PAPINEAU LOCKER INC. (State Plant 130-00157),"105 S EAST AVE, PAPINEAU, IL 60956",(815) 428-7376
272,Pariwaar Delights,"827 Newark Ave, Jersey City",(201) 217-1800
273,Perdesi Grill,"1184 Roosevelt Rd, Glen Ellyn, IL 60137",(630) 678-9288
274,Perdesi Grocers,"1184 Roosevelt Road, Glen Ellyn, IL",(630) 678-9288
275,Perdesi Grocers(GL Heights),"1545 Bloomingdale Rd., Glendale Heights, IL - 60139",847-338-3076
276,Pita & Hummus,"1655 Stelton Rd, Piscataway, NJ 08854",(732) 354-4648
277,Pizza Stop,"4251 E Renner Rd, Richardson, TX 75082",(972) 975-5555
278,Poblano's Piri Piri,"3636 N Belt Line Rd, Irving, TX 75062",(972) 514-1792
279,pro8ein's Newman Processing Facility LLC,"NEWMAN, CALIFORNIA",info@pro8ein.com
280,Punjab Halal Meat & Grill,"856 US Highway 206, Unit A, Building A, Hillsborough, NJ 08844",(908) 262-7247
281,Q & H Grocery,"2408 W. Brynmawr Ave., Chicago, IL 60659",(773) 334-3664
282,"Qasri Hills (All, Chicken Lamb & Beef Processed, Further Processed and Packaged Retail & Wholesale Products)",WWW.QASRIHILLS.COM,"(773) 954-8981, (312) 709-0430"
283,Qasri Hills (Slaughter House),LaGrange Indiana,"(773) 954-8981, (312) 709-0430"
284,Rahmat Meat & Grocery,"2158 West Devon Avenue, Chicago, IL",(773) 338-3358
285,Ruby Indo-Pak Grocery Inc.,"9232 Waukegan Rd., Morton Grove, IL-60053",(847)-663-0170
286,S.I.Bukhari / Waqas Muslim,"17658 W. Snoqualmie River Road N.E., Duvall, WA 98019",(425)788-1128
287,"Sagar Restaurant (ONLY THIS RESTAURANT, VERIFY ADDRESS)","168-25B Hillside Ave, Jamaica, NY 11432",(718) 298-5696
288,Salam Halal Poultry Inc. (Not Valid for Wholesale Supply),"37-15 55 St, Woodside, NY 11377",718-205-7200
289,SAL’S NASHVILLE HOT CHICKEN,"6205 Coit Rd Suite 352, Plano, TX 75024",(972) 212-4403
290,SAM WHOLESALERS,"GLENVIEW, IL",(312) 826-3187
291,Samosa Paradise,"804 Newark Ave, Jersey City, NJ 07306",(201) 414-9493
292,Sasta Bazaar,"709 W Mitchell St, Milwaukee, WI 53204",(414) 672-7272
