,Forum_Cateogory,Forum_Name,Topic,PosetedBy,PostedDate,PostedDetail
10,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,bubffm,"April 5, 2018","  On 4/4/2018 at 1:58 PM, okuma said:
Three is too low; suggest at least ten valid and cogent postings!
  I agree. Three posts is a bit if a joke. I believe you are heading in the right direction but would think that at least 10 or maybe even 20 posts should be the minimum.
Edited April 5, 2018 by bubffm"
11,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,sunnyboy010101,"April 5, 2018","I too agree with 10 maybe 20 as a better minimum. It would also be nice if they had to have say 10 posts before they could PM to buy gear or post ""Will you sell me"" replies."
12,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,K9Shadow,"May 10, 2018","And this post makes an even 20 for me lol. Kidding aside I like the idea of a minimum post count but I am not sure what a good number would be. I have been a member here since 2007 and only have 20 posts. I am usually a pretty quiet guy in all areas of my life so I tend to not post much. Lately I may average 5 or 10 posts a year on my own Facebook page. I'm not sure I agree with a minimum post count to respond to an ad. I believe there is at least a small number of people who come here to get started and one of the first things they may do after reading all about which system is right for them (cough, cough Canon dslr cough) they would likely try to purchase something. I also think the purchaser assumes more risk than the seller since they will likely send payment and wait for delivery. Just my quick thoughts fwiw."
13,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,SwiftFF5,"May 10, 2018","  On 5/9/2018 at 8:49 PM, K9Shadow said:
And this post makes an even 20 for me lol. Kidding aside I like the idea of a minimum post count but I am not sure what a good number would be. I have been a member here since 2007 and only have 20 posts. I am usually a pretty quiet guy in all areas of my life so I tend to not post much. Lately I may average 5 or 10 posts a year on my own Facebook page. I'm not sure I agree with a minimum post count to respond to an ad. I believe there is at least a small number of people who come here to get started and one of the first things they may do after reading all about which system is right for them (cough, cough Canon dslr cough) they would likely try to purchase something. I also think the purchaser assumes more risk than the seller since they will likely send payment and wait for delivery. Just my quick thoughts fwiw.
    Except that this policy would not affect purchasers (unless they are trying to post a ""WTB"" ad), but rather the sellers - and is designed specifically in attempt to offer at least a little protection for the purchaser, since they are the ones sending money just as you say.
      ."
14,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,K9Shadow,"May 12, 2018","  On 5/10/2018 at 4:28 AM, SwiftFF5 said:
Except that this policy would not affect purchasers (unless they are trying to post a ""WTB"" ad), but rather the sellers - and is designed specifically in attempt to offer at least a little protection for the purchaser, since they are the ones sending money just as you say.
      .
I was responding to the above post about needing a certain number of posts before you could message someone to buy an item."
15,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,decostanza,"May 13, 2018",I like the idea...helps validate the person is legit...
16,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,kat86,"June 4, 2018","I too like the idea however.... can it be displayed in such a way that newbies understand the ""post x-times"" before you can respond to Classifieds? I have too have lurked these pages for a number of years, before joining - and even that was a hurdle!- and only came across this post by accident today when I was browsing.... I had been wondering why I could not respond to posts in the classified section!

All's good

Why did my post, above, get put in as a guest post???


My wetpixel ID is Kat86
Edited June 4, 2018 by kat86"
17,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,TimG,"June 5, 2018","Hey Kat86
  There’s a slightly weird quirk on the system that posts often appear initially as coming from a guest. But this changes quickly to the proper poster’s user name as, hopefully, you experienced.
  Your point on making sure newcomers understand the rules on Classified advert posting is a good one. Over to the WP Administrator, Adam, to chew that one over....."
18,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,Jcookomdem1,"June 12, 2018","Thank you new member here, from south Florida. Thanks"
19,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,jacontente,"June 21, 2018","My posts are still being made as guest , what i need to change? , as above was said , im following the forum for 1 year now i ve learned a lot with it but now that i want to sell some gear i am not being able to do it"
20,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,SwiftFF5,"June 21, 2018","@jacontente - if you just hit the ""refresh"" button, as @TimG mentions above, you will see that your posts in the classifieds section are appearing under your name."
21,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,TimG,"June 21, 2018","  On 6/21/2018 at 4:23 AM, SwiftFF5 said:
@jacontente - if you just hit the ""refresh"" button, as @TimG mentions above, you will see that your posts in the classifieds section are appearing under your name.
  Thanks SwiftFF5, you saved me a post... No! Wait!!!"
22,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,polonetsivan,"July 6, 2018",thanks for the warning
23,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,dive diva,"July 18, 2018",What do you mean by post? Selling something 3 times? comment 3 times? I am not sure how to do this. I have been a member for 8 years and have never posted anything and now want to sell my gear. Why can I not list on the classifieds?
24,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,TimG,"July 19, 2018","  On 7/18/2018 at 3:48 PM, dive diva said:
What do you mean by post? Selling something 3 times? comment 3 times? I am not sure how to do this. I have been a member for 8 years and have never posted anything and now want to sell my gear. Why can I not list on the classifieds?
    Yep, you need to comment on something someone has written or write something yourself 3 times. You can then list items on the Classifieds. So comment 3 times will do it.
  Hope that helps. If not, drop me a PM and I'll explain in more detail.
  Tim"
25,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,smithjmail,"July 19, 2018","Although I have have not posted much, I did post a classified.
My experience would have been much better and more community friendly had I been more familiar with the wet pixel community and how the website functioned. I agree with the new policy."
26,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,TimG,"July 19, 2018","  On 7/19/2018 at 6:31 AM, smithjmail said:
Although I have have not posted much, I did post a classified.
My experience would have been much better and more community friendly had I been more familiar with the wet pixel community and how the website functioned. I agree with the new policy.
  Thanks James
  Finding your way around the WP website and using all the Forum's features does take a bit of practice! Some of it is a bit confusing sometimes - but, hey, the advice and the willingness of people to chip-in and offer some fascinating insights make it one of the best forums I have used. And, best of all I reckon, no-one slags anyone off!"
27,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,Catlic,"June 25, 2019","I confess that I started following the forum because I was interested in the classified section. Now that I'm interested in an article I couldn't respond to the announcement, and I discovered the reason. However, I find this policy correct. Thank you
I confess that I started following the forum because I was interested in the classified section. Now that I'm interested in an article I couldn't respond to the announcement, and I discovered the reason. However, I find this policy correct. Thank you"
28,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,adewater,"December 3, 2020","Thanks for the information Adam, great idea."
29,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,desertvisitor,"July 20, 2021","I understand the policy and have seen it on other forums as well.  I believe it is a good idea.  I will endeavor to do my part by finding a thread or two I can add value too (my video skills are definitely only recreational).  However, I'd like to buy from a member here if someone has the discontinued lens I'm looking for laying on a shelf.  Hopefully, I'm not abusing the policy by getting in my 3 posts so I can ask.  "
30,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,Mags,"June 1, 2022",Sounds like a very good idea. The underwater photography world is quite a niche group and this seems very sensible.
31,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,TimG,"June 1, 2022","  On 6/1/2022 at 10:15 AM, Mags said:
Sounds like a very good idea. The underwater photography world is quite a niche group and this seems very sensible.
We try, Mags. God knows, we try........"
32,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,Julien DM,"October 28, 2022","Same as many people here, have been lurking around since a while but finally sign up wanting to buy some gear...
I rarely post anything in any forum as I just come to learn and find almost every time what I need. 
But this make sense, this is not a buy/sell forum so after this post (my second) I will try to find something useful to say somewhere else
 "
33,ADMINISTRATION,Announcements,Commercial posting policy,adamhanlon,"January 22, 2018","Wetpixel has been a vibrant venue for the discussion of underwater imagery for nearly ten years. We have always been somewhat unique because we are a place where industry members mingle openly with non-industry members.
Recently, a few industry members have crossed the line of commercialism, so we are putting in some strict rules for industry members to follow. Ideally, every member would be 100% objective, but this is simply not the case. When one industry member is allowed to post something self-promoting, it brings down Wetpixel's integrity and causes other industry members to complain. Unfortunately, the only solution is to implement a double standard. This does not affect non-industry members.

Starting now, overtly commercial posts from industry members will be deleted without warning.

Industry members, here are some guidelines to help you keep your posts within policy:

- In your area of commercial endeavor, only factual posts and support posts are allowed. So if you are a housing manufacturer or retailer, you can post opinions about diving destinations, but not opinions about any underwater housing on the market (including your own).

- No product announcements. All product announcements must be made via press release on the front page by contacting Wetpixel. Note that non-industry members *can* post links to announcements. Sorry, but this is how it is going to have to be.

- No inventory announcements (e.g. ""Strobe XX is in stock!"").

- No reviews of your own product.

- No unsolicited sales contact with forum members via the Wetpixel personal message system. Replies or support enquiries can still be communicated via PM, although in the later case, you are encouraged to do so via the forum where others can share in your knowledge and experience. (added 03/21/12)

All members can help us to keep Wetpixel on track by reporting commercial posts. Thank you for your time!

As always, if you have any questions, concerns or comments, please voice them here."
34,ADMINISTRATION,Announcements,Commercial posting policy,adamhanlon,"March 18, 2020","In the light of the COVID-19 outbreak, and its effect on the diving industry, the above policy is to be relaxed.
Effective now, diver travel operators may advertise specific trips and events on the Wetpixel forum. 
Manufacturers can also be more involved and offer possible solutions to prospective purchasers. 

We will monitor how this works and if needs be amend the policy in future
Adam"
35,ADMINISTRATION,Announcements,Commercial posting policy,JackConnick,"March 18, 2020",I would hope this also applies to UWP retailers to offer solutions and links to appropriate products and announcements within reason. We are as hard hit as anyone and many are small businesses.
36,ADMINISTRATION,Announcements,Commercial posting policy,adamhanlon,"March 18, 2020","Hi Jack,
Yes and no. I understand how hard hit the industry in general is and did not mean to exclude anyone. 

Happy for you to offer support and details of special offers etc. I would rather avoid links to external sites.

Let's see how this works. As long as common sense prevails (this is a community not a classifieds) it should be fine. I will assess and revise as required/needed.
Adam
 "
37,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 25, 2019","Thanks Adam, and thank you everyone for your patience!

Hopefully we've ironed out most of the issues from the update and server migration but if you find anything amiss please let us know.
One thing I've just spotted is the country flag under a members details is not working, I will try to get that fixed asap.
  cheers
tsg"
38,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019","I am not seeing a reply to thread so started this new one (green button obvious). Also I cannot find a recent topics button. Using Firefox on a Mac.
Tom
PS I just now did see a reply to topic (green button) on a thread started by Interceptor but still am not seeing one in this topic or Adam's in the announcement forum. Hence I am using edit.
Edited July 25, 2019 by Tom_Kline
unable to otherwise reply to this thread. later: fixed grammar"
39,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 25, 2019","Thanks Tom
I will look into it."
40,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019",Reply button now present!!!
41,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019","The ""topics"" box (lower right) contains just a few and does not seem to be bookmarkable. Not a satisfactory replacement in my book."
42,ADMINISTRATION,Announcements,Forum update - bug reports here please,adamhanlon,"July 25, 2019",Tapatalk is not working currently. I'm working on it...
43,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 25, 2019","Maybe a take a look at the Optional Profile Information routine. Mine shows as 0% complete. When I go into it, all the details are there but it doesn't seem to register it."
44,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019","  On 7/25/2019 at 11:43 AM, TimG said:
Maybe a take a look at the Optional Profile Information routine. Mine shows as 0% complete. When I go into it, all the details are there but it doesn't seem to register it.
Maybe that is why signatures are missing, just now noticed by me after making a post on another thread.
PS. Signature suddenly appeared! Did NOT see signature editing in my profile a minute ago.
Edited July 25, 2019 by Tom_Kline
update"
45,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 25, 2019","Thanks for the bug reports guys.
 - I have re-enabled signatures.
 - we are aware of the 0% profile issue, it is not registering complete profile if any of the fields are empty, I'm looking at it now.
 - we will find a better solution for recent topics, please bear with us!"
46,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019",I guess we need to actually use WP to find the issues. Did find signature editing a second ago!
47,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 25, 2019","The 0% profile issue seems sorted now. Well done, TomSTG!"
48,ADMINISTRATION,Announcements,Forum update - bug reports here please,adamhanlon,"July 25, 2019",I've just edited the topic title so that people can add any bugs they find to this thread. I will now merge the bugs from the other topic too..
49,ADMINISTRATION,Announcements,Forum update - bug reports here please,adamhanlon,"July 25, 2019","We seem to be getting some spammers posting. Interestingly, they all registered in 2018, so it may just be a coincidence.
Please let me know if you see any spam posts so I can delete them
Many thanks to @Chris Kippax
Adam"
50,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 26, 2019","  On 7/25/2019 at 12:06 PM, tomstgeorge said:
 - we will find a better solution for recent topics, please bear with us!
https://wetpixel.com/forums/index.php?/discover
New link for recent topics works for me!
Edited July 26, 2019 by Tom_Kline
grammar"
51,ADMINISTRATION,Announcements,Forum update - bug reports here please,adamhanlon,"July 26, 2019","Link works for me too!
I think I have killed the source of the spam members, but please let me know if you see any more..
Adam"
52,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 26, 2019","Excellent on then Spam kills!
I'm getting auto-forwards to my personal email address of all Reports (thanks Tom and Chris ;-)  Is there a way to turn that off? "
53,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 26, 2019","Not a bug - but a compliment (shock, horror): I really like the layout - very clean looking; and the auto stream update is a nice feature."
54,ADMINISTRATION,Announcements,Forum update - bug reports here please,Chris Kippax,"July 26, 2019","Yep, echoing Tim's comments new format is definitely more 21st century. Easy on the eyes with nice contrast and clean lines."
55,ADMINISTRATION,Announcements,Forum update - bug reports here please,Davide DB,"July 26, 2019","Really nice work indeed! 
Out of curiosity, how I change my profile background image? (behind the avatar).
Thanks"
56,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 26, 2019","  On 7/26/2019 at 8:26 AM, Davide DB said:
Really nice work indeed! 
Out of curiosity, how I change my profile background image? (behind the avatar).
Thanks
Hi Davide
If you click your name in the very top right hand corner of the screen, you'll see the option Profile. Go into that and you can change all sorts of things...."
57,ADMINISTRATION,Announcements,Forum update - bug reports here please,Davide DB,"July 26, 2019","Hi Tim,
I filled nearly every field. I updated my avatar but I find no option to change the background of my profile like @tomstgeorge
I'm envious
 "
58,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 26, 2019","  On 7/26/2019 at 8:37 AM, Davide DB said:
Hi Tim,
I filled nearly every field. I updated my avatar but I find no option to change the background of my profile like @tomstgeorge
I'm envious
    Yep, pretty cool
Have you tried “Cover photo”?"
59,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 26, 2019","  On 7/26/2019 at 8:37 AM, Davide DB said:
Hi Tim,
I filled nearly every field. I updated my avatar but I find no option to change the background of my profile like @tomstgeorge
I'm envious
  Hi Davide DB

I have enabled Cover Photos for all members. If you click on your name in the top right and then select profile you should now be able to choose a cover photo."
60,ADMINISTRATION,Announcements,Forum update - bug reports here please,Davide DB,"July 26, 2019","Ah ok
I'm pretty sure it wasn't enabled before.
Thank you all"
61,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 26, 2019","  On 7/26/2019 at 1:40 AM, TimG said:
Excellent on then Spam kills!
I'm getting auto-forwards to my personal email address of all Reports (thanks Tom and Chris ;-)  Is there a way to turn that off? 
Hi TimG
You should now be able to manage this setting:

- click on your name top right and choose Account Settings
- choose Notification Settings in the right hand panel
- the first part of the page is some general settings but if you scroll down you will find controls to setup exactly what gets sent as an email and/or a notification
  cheers
tag"
62,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 25, 2019","Thanks Adam, and thank you everyone for your patience!

Hopefully we've ironed out most of the issues from the update and server migration but if you find anything amiss please let us know.
One thing I've just spotted is the country flag under a members details is not working, I will try to get that fixed asap.
  cheers
tsg"
63,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019","I am not seeing a reply to thread so started this new one (green button obvious). Also I cannot find a recent topics button. Using Firefox on a Mac.
Tom
PS I just now did see a reply to topic (green button) on a thread started by Interceptor but still am not seeing one in this topic or Adam's in the announcement forum. Hence I am using edit.
Edited July 25, 2019 by Tom_Kline
unable to otherwise reply to this thread. later: fixed grammar"
64,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 25, 2019","Thanks Tom
I will look into it."
65,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019",Reply button now present!!!
66,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019","The ""topics"" box (lower right) contains just a few and does not seem to be bookmarkable. Not a satisfactory replacement in my book."
67,ADMINISTRATION,Announcements,Forum update - bug reports here please,adamhanlon,"July 25, 2019",Tapatalk is not working currently. I'm working on it...
68,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 25, 2019","Maybe a take a look at the Optional Profile Information routine. Mine shows as 0% complete. When I go into it, all the details are there but it doesn't seem to register it."
69,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019","  On 7/25/2019 at 11:43 AM, TimG said:
Maybe a take a look at the Optional Profile Information routine. Mine shows as 0% complete. When I go into it, all the details are there but it doesn't seem to register it.
Maybe that is why signatures are missing, just now noticed by me after making a post on another thread.
PS. Signature suddenly appeared! Did NOT see signature editing in my profile a minute ago.
Edited July 25, 2019 by Tom_Kline
update"
70,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 25, 2019","Thanks for the bug reports guys.
 - I have re-enabled signatures.
 - we are aware of the 0% profile issue, it is not registering complete profile if any of the fields are empty, I'm looking at it now.
 - we will find a better solution for recent topics, please bear with us!"
71,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019",I guess we need to actually use WP to find the issues. Did find signature editing a second ago!
72,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 25, 2019","The 0% profile issue seems sorted now. Well done, TomSTG!"
73,ADMINISTRATION,Announcements,Forum update - bug reports here please,adamhanlon,"July 25, 2019",I've just edited the topic title so that people can add any bugs they find to this thread. I will now merge the bugs from the other topic too..
74,ADMINISTRATION,Announcements,Forum update - bug reports here please,adamhanlon,"July 25, 2019","We seem to be getting some spammers posting. Interestingly, they all registered in 2018, so it may just be a coincidence.
Please let me know if you see any spam posts so I can delete them
Many thanks to @Chris Kippax
Adam"
75,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 26, 2019","  On 7/25/2019 at 12:06 PM, tomstgeorge said:
 - we will find a better solution for recent topics, please bear with us!
https://wetpixel.com/forums/index.php?/discover
New link for recent topics works for me!
Edited July 26, 2019 by Tom_Kline
grammar"
76,ADMINISTRATION,Announcements,Forum update - bug reports here please,adamhanlon,"July 26, 2019","Link works for me too!
I think I have killed the source of the spam members, but please let me know if you see any more..
Adam"
77,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 26, 2019","Excellent on then Spam kills!
I'm getting auto-forwards to my personal email address of all Reports (thanks Tom and Chris ;-)  Is there a way to turn that off? "
78,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 26, 2019","Not a bug - but a compliment (shock, horror): I really like the layout - very clean looking; and the auto stream update is a nice feature."
79,ADMINISTRATION,Announcements,Forum update - bug reports here please,Chris Kippax,"July 26, 2019","Yep, echoing Tim's comments new format is definitely more 21st century. Easy on the eyes with nice contrast and clean lines."
80,ADMINISTRATION,Announcements,Forum update - bug reports here please,Davide DB,"July 26, 2019","Really nice work indeed! 
Out of curiosity, how I change my profile background image? (behind the avatar).
Thanks"
81,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 26, 2019","  On 7/26/2019 at 8:26 AM, Davide DB said:
Really nice work indeed! 
Out of curiosity, how I change my profile background image? (behind the avatar).
Thanks
Hi Davide
If you click your name in the very top right hand corner of the screen, you'll see the option Profile. Go into that and you can change all sorts of things...."
82,ADMINISTRATION,Announcements,Forum update - bug reports here please,Davide DB,"July 26, 2019","Hi Tim,
I filled nearly every field. I updated my avatar but I find no option to change the background of my profile like @tomstgeorge
I'm envious
 "
83,ADMINISTRATION,Announcements,Forum update - bug reports here please,TimG,"July 26, 2019","  On 7/26/2019 at 8:37 AM, Davide DB said:
Hi Tim,
I filled nearly every field. I updated my avatar but I find no option to change the background of my profile like @tomstgeorge
I'm envious
    Yep, pretty cool
Have you tried “Cover photo”?"
84,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 26, 2019","  On 7/26/2019 at 8:37 AM, Davide DB said:
Hi Tim,
I filled nearly every field. I updated my avatar but I find no option to change the background of my profile like @tomstgeorge
I'm envious
  Hi Davide DB

I have enabled Cover Photos for all members. If you click on your name in the top right and then select profile you should now be able to choose a cover photo."
85,ADMINISTRATION,Announcements,Forum update - bug reports here please,Davide DB,"July 26, 2019","Ah ok
I'm pretty sure it wasn't enabled before.
Thank you all"
86,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 26, 2019","  On 7/26/2019 at 1:40 AM, TimG said:
Excellent on then Spam kills!
I'm getting auto-forwards to my personal email address of all Reports (thanks Tom and Chris ;-)  Is there a way to turn that off? 
Hi TimG
You should now be able to manage this setting:

- click on your name top right and choose Account Settings
- choose Notification Settings in the right hand panel
- the first part of the page is some general settings but if you scroll down you will find controls to setup exactly what gets sent as an email and/or a notification
  cheers
tag"
87,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 25, 2019","Thanks Adam, and thank you everyone for your patience!

Hopefully we've ironed out most of the issues from the update and server migration but if you find anything amiss please let us know.
One thing I've just spotted is the country flag under a members details is not working, I will try to get that fixed asap.
  cheers
tsg"
88,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019","I am not seeing a reply to thread so started this new one (green button obvious). Also I cannot find a recent topics button. Using Firefox on a Mac.
Tom
PS I just now did see a reply to topic (green button) on a thread started by Interceptor but still am not seeing one in this topic or Adam's in the announcement forum. Hence I am using edit.
Edited July 25, 2019 by Tom_Kline
unable to otherwise reply to this thread. later: fixed grammar"
89,ADMINISTRATION,Announcements,Forum update - bug reports here please,tomstgeorge,"July 25, 2019","Thanks Tom
I will look into it."
90,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019",Reply button now present!!!
91,ADMINISTRATION,Announcements,Forum update - bug reports here please,Tom_Kline,"July 25, 2019","The ""topics"" box (lower right) contains just a few and does not seem to be bookmarkable. Not a satisfactory replacement in my book."
